Word,Definition,Topic,Level
Fetch-execute Cycle,"A process in which instructions are fetched one by one from main memory, decoded, and then executed by the processor. This cycle repeats until the program is complete.",Systems Architecture,3
Central Processing Unit,"The main processor within a computer that controls the operation of all parts of the computer, decodes, and executes program instructions.",Systems Architecture,2
Arithmetic Logic Unit,"The part of the CPU responsible for performing arithmetic and logical operations.",Systems Architecture,3
Processor Cache,"High-speed memory built into the CPU that stores frequently accessed instructions and data to reduce the time required to access them from main memory.",Systems Architecture,4
Register,"A small and fast storage area within the CPU that temporarily holds data and instructions for quick access during processing.",Systems Architecture,3
Von Neumann Architecture,"A computer architecture design that defines the structure and operation of a computer system, including the CPU, memory, and input/output devices.",Systems Architecture,4
Memory Address Register,"A register that holds the memory address of the current instruction or data being accessed from or written to main memory.",Systems Architecture,4
Memory Data Register,"A register that temporarily stores data being transferred between the CPU and main memory.",Systems Architecture,4
Program Counter,"A register that contains the memory address of the next instruction to be executed by the CPU.",Systems Architecture,4
Accumulator,"A register in the CPU that stores the result of arithmetic and logical operations.",Systems Architecture,4
Clock Speed,"The number of clock cycles a CPU can execute per second, measured in MHz or GHz. Higher clock speeds generally indicate faster processing.",Systems Architecture,3
Cache Size,"The amount of high-speed memory built into the CPU. A larger cache size can improve performance by reducing the need to access slower main memory.",Systems Architecture,4
Cores,"Independent processing units within a CPU that can execute instructions simultaneously, allowing for parallel processing and improved performance.",Systems Architecture,3
Embedded System,"A computer system with dedicated hardware and software designed for a specific purpose, often found in appliances, vehicles, and other devices.",Systems Architecture,3
Primary Storage,"Also known as Main memory; holds the data, programs, and instructions currently in use by the computer.",Memory and Storage,2
RAM,"Random Access Memory; stores programs and data temporarily before they are processed by the CPU. It is read/write memory., meaning the contents can be changed. The contents are lost when the computer is turned off.",Memory and Storage,2
ROM,"Read Only Memory; stores data that can be retrieved but not changed. The contents are not lost when the computer is turned off. Often used to store programs for embedded systems.",Memory and Storage,3
Volatile Memory,"A type of memory that loses its contents when the computer is turned off.",Memory and Storage,3
Non-Volatile Memory,"A type of memory that retains its contents even when the computer is turned off.",Memory and Storage,3
Virtual Memory,"A technique that uses space on the computer's hard drive as an extension of main memory (RAM). Virtual memory is slower than main memory.",Memory and Storage,4
Optical Storage,"A type of secondary storage that stores data on a spinning plastic or metal disk. Data is read from and written to the disk using a laser.",Memory and Storage,3
Magnetic Storage,"A type of secondary storage that uses magnetic fields to store data. A read/write head is used to read and write data from the storage medium.",Memory and Storage,3
Solid State Storage,"A type of secondary storage that uses flash memory to store data. It has no moving parts and is much faster than optical or magnetic storage.",Memory and Storage,3
Hard Disk Drive,"A magnetic storage drive that can store large amounts of data and is often the main method of secondary storage in personal computers. The drive contains a number of internal disks and a read/write head used to read and write data.",Memory and Storage,3
Digital Versatile Disk,"A high-capacity optical storage disk commonly used for video storage. A range of capacities are available, up to 17GB.",Memory and Storage,2
Compact Disk,"An optical storage disk often used to store music. Capacity is usually around 800MB.",Memory and Storage,2
Solid State Drive,"A solid state storage drive that performs the same function as a traditional HDD. They are much faster than HDDs and less prone to damage due to the absence of moving parts. However, they are also more expensive and usually have lower storage capacity.",Memory and Storage,3
Bit,"The smallest unit of storage, containing a binary value of either 1 or 0.",Memory and Storage,2
Nibble,"A unit of data equal to 4 bits (half a byte).",Memory and Storage,4
Byte,"A unit of data equal to 8 bits.",Memory and Storage,2
Kilobyte,"A unit of data equal to 1000 bytes.",Memory and Storage,2
Megabyte,"A unit of data equal to 1000 kilobytes.",Memory and Storage,2
Gigabyte,"A unit of data equal to 1000 megabytes.",Memory and Storage,2
Terabyte,"A unit of data equal to 1000 gigabytes.",Memory and Storage,2
Petabyte,"A unit of data equal to 1000 terabytes.",Memory and Storage,3
Binary,"A number system used by computers that contains only two symbols: 0 and 1. It is also known as base-2.",Memory and Storage,3
Denary,"The number system most often used by people. It uses the digits 0 to 9 and is also known as base-10 or decimal.",Memory and Storage,3
Positive Number,"A number greater than 0.",Memory and Storage,1
Negative Number,"A number less than 0.",Memory and Storage,1
Integer,"A whole number without a decimal point or fraction (e.g., 1, 100, or 88122).",Memory and Storage,2
Overflow Error,"An error that occurs when the result of a calculation is too large to be stored in the allocated memory space.",Memory and Storage,4
Hexadecimal,"A base-16 number system used in computing. It uses the digits 0-9 and the letters A-F to represent values.",Memory and Storage,4
Binary Shift,"A process used to perform arithmetic on binary numbers by moving all the digits to the left or right.",Memory and Storage,5
Most Significant Bit,"The leftmost digit in a string of binary numbers, representing the highest value due to its position.",Memory and Storage,4
Least Significant Bit,"The rightmost digit in a string of binary numbers, representing the lowest value due to its position.",Memory and Storage,4
Character,"A single symbol, such as a letter, number, or punctuation mark.",Memory and Storage,2
Character Set,"A system for representing characters in binary, where each character is assigned a unique binary number.",Memory and Storage,3
ASCII,"American Standard Code for Information Interchange; a 7-bit character set used to represent characters in computers.",Memory and Storage,4
Unicode,"A character set designed to include a wide variety of characters from different languages and symbol sets, such as emojis. It was created to address the limitations of ASCII.",Memory and Storage,4
Pixel,"Short for 'picture element'; the smallest unit of a digital image. Images are divided into a grid, with each square in the grid representing a single pixel that can display a single color.",Memory and Storage,3
Metadata,"Additional data about a file, such as its creation date, author, or other relevant information. Commonly used with photos to store details like camera make or location.",Memory and Storage,3
Color Depth,"The number of bits available to represent colors in an image. Higher color depth allows for more colors and more realistic images.",Memory and Storage,4
Resolution,"The number of pixels that make up an image. Higher resolution means more pixels and clearer images.",Memory and Storage,3
Sample Rate,"The number of samples taken per second when digitizing an analog signal. Measured in hertz (Hz), with 1 Hz representing one sample per second. Higher sample rates result in higher quality digital audio.",Memory and Storage,4
Bit Depth,"The number of bits used to represent each sample in a digital audio file. Higher bit depth allows for better audio quality.",Memory and Storage,4
Analog,"A continuously varying signal, typically represented as a smooth, continuous waveform. Examples include sound waves and temperature readings.",Memory and Storage,3
Compression,"A technique used to reduce the size of a file, commonly applied to images, audio, and video files.",Memory and Storage,3
Lossy Compression,"A compression method that reduces file size by removing certain data permanently. The original file cannot be perfectly reconstructed from the compressed version, but the file size reduction is more significant compared to lossless compression.",Memory and Storage,4
Lossless Compression,"A compression method that reduces file size without losing any data. The original file can be perfectly reconstructed from the compressed version, but the file size reduction is less significant compared to lossy compression.",Memory and Storage,4
Network,"Two or more computers connected together for the purpose of sharing data or resources.",Computer Networks Connections and Protocols,2
Local Area Network,"A network that covers a small geographic area, such as a single building or office.",Computer Networks Connections and Protocols,2
Wide Area Network,"A network that spans a large geographic area, connecting multiple LANs or computers across different locations.",Computer Networks Connections and Protocols,2
Client-Server,"A network architecture where resources or processing are managed by a central computer (server), and other devices (clients) access these resources via the network.",Computer Networks Connections and Protocols,3
Peer-to-Peer,"A network architecture where all computers have equal status and can function as both clients and servers.",Computer Networks Connections and Protocols,3
Wireless Access Point,"A device that uses wireless radio to allow devices to connect wirelessly to an existing network.",Computer Networks Connections and Protocols,3
Router,"A device that connects two or more different networks together, allowing them to communicate with one another.",Computer Networks Connections and Protocols,2
Switch,"A device that provides computers and other devices with a wired connection to a network.",Computer Networks Connections and Protocols,2
Network Interface Card,"A component within a computer or other device that allows it to connect to a network. It provides the physical connection and controls the sending and receiving of data between the device and the network. NICs can be integrated into the computer motherboard or installed as a separate expansion card.",Computer Networks Connections and Protocols,3
Transmission Media,"The physical medium that carries data between network devices. This can be a cable or wireless signals, depending on the network type.",Computer Networks Connections and Protocols,3
Domain Name System,"A system that translates human-readable domain names (URLs) into the corresponding IP addresses.",Computer Networks Connections and Protocols,3
Hosting,"The process of storing files or other data on a server. The server storing the data is called the host.",Computer Networks Connections and Protocols,2
The Cloud,"A term for accessing storage or other resources remotely via the Internet.",Computer Networks Connections and Protocols,2
Web Server,"A server that hosts websites and web pages for users to access, typically over the Internet.",Computer Networks Connections and Protocols,2
Network Topology,"The physical or logical layout of a network, describing how computers and other network devices are connected.",Computer Networks Connections and Protocols,3
Star Network,"A network topology where all devices are connected to a single central node (such as a switch or hub). All communication passes through this central point.",Computer Networks Connections and Protocols,3
Mesh Network,"A network topology where all devices are interconnected, allowing for direct communication between any two devices without the need for a central node.",Computer Networks Connections and Protocols,4
Bandwidth,"The maximum amount of data that can be transferred over a network connection in a given time. Higher bandwidth allows for faster data transfer speeds.",Computer Networks Connections and Protocols,3
The Internet,"A global network connecting millions of computers and devices worldwide.",Computer Networks Connections and Protocols,1
Uniform Resource Locator,"A human-readable address used to locate and access web resources. DNS is used to translate the URL into the corresponding IP address of the web server.",Computer Networks Connections and Protocols,2
Client,"A computer or device that accesses resources or services from a server over a network.",Computer Networks Connections and Protocols,2
Ethernet,"A family of wired network technologies and protocols used for local area networks (LANs). It defines the physical connection (cables) and the rules for sending and receiving data over the network.",Computer Networks Connections and Protocols,3
Wi-Fi,"A wireless networking technology that uses radio waves to provide wireless high-speed Internet and network connections.",Computer Networks Connections and Protocols,2
Bluetooth,"A short-range wireless communication technology used for connecting devices such as keyboards, mice, headphones, and smartphones over short distances.",Computer Networks Connections and Protocols,2
Encryption,"The process of converting data into a coded format to prevent unauthorized access. Encrypted data must be decrypted before it can be read or understood.",Computer Networks Connections and Protocols,3
IP Address,"A unique numerical address assigned to each device connected to a network using the Internet Protocol (IP) for communication.",Computer Networks Connections and Protocols,2
IPv4,"The fourth version of the Internet Protocol (IP) that uses 32-bit addresses. IPv4 addresses are typically represented as four numbers separated by dots (e.g., 192.168.0.1).",Computer Networks Connections and Protocols,3
